"ID","President","College","Code","Note"
14,19,9,1,"While at Kenyon, young Hayes became interested in Whig politics.  He was an exceptional student and valedictorian of his class."
15,20,10,1,"Garfield transferred to Williams after three years at Ohio's Hiram College.  During his two years at Williams, Garfield was president of the Philogian Society and editor of The Williams Quarterly."
16,21,27,1,"A Schenectady local, Chester Arthur did not have to travel far to attend Union College.  As a senior, Artur was president of the debate society.  He was also elected to Phi Beta Kappa.  During breaks, he served as a school teacher."
17,23,11,1,"Benjamin Harrison is among quite a few sons of Ohio who rose to the presidency during the late 19th Century (Grant, Hayes, Garfield, McKinley).  Our 23rd president spent a couple of years at Farmer's College before transferring to Miami University.  While at Miami, Harrison joined Phi Delta Theta fraternity, as well as Delta Chi, a law fraternity."
18,25,12,1,"President McKinley's time in college was an unreliable harbinger of his future successes. McKinley studied at Allegheny for one year before withdrawing due to depression and illness.  Once he recovered, his family's financial situation had declined and McKinley was unable to return to college."
19,26,1,1,"""Take care of your morals first, your health next, and finally your studies"".  Thus was young Theodore charged by his father on his entry into Harvard.  Roosevelt read prodigiously and exhibited an almost photographic memory, despite whatever knocks to the head he took in the boxing ring (he was runner-up in the Harvard boxing tournament)."
20,27,13,1,"While he was the first president to attend Yale, William Howard was not the first Taft to walk the pathways of that institution.  The college had become a family tradition by the time Taft enrolled.  Given the name ""Big Lub"" due to his size (a nickname that evidently still applied at the time of his portrait), Taft was an intramural heavyweight wresting champion.  Taft graduated second in his class of 121.  He was a member of Skull and Bones, a secret society co-founded by his father."
21,28,3,1,"Having begun his education at Davidson College in North Carolina, Wilson transferred to Princeton when his father received a teaching position there.  At Princeton, Wilson became a student in political philosophy and history.  He also developed an interest in debate and Whig politics."
24,30,29,1,"Coolidge emerged from his college years a cum laude student and accomplished debater.  Moreover, at Amherst, Coolidge underwent a spiritual/philosophical transformation, due to the influence of his philosophy professor, Chares E. Garmin."
25,31,14,1,"Hoover initially failed the entrance exams for Stanford (except math).  After a summer of tutoring and determination, however, he was able to pass muster and become a member of Stanford's very first class.  An orphan by this time, Hoover earned his way through school, performing various jobs.  He was student manager of both the baseball and football teams.  Hoover graduated with a degree in geology."
26,32,1,1,"Roosevelt came from a privileged and distinguished New York family.  All but two of his prep school classmates proceeded to Harvard.  FDR did not excel particularly as a scholar or an athlete, but he did become editor-in-chief of the Harvard Crimson daily newspaper, which required a great deal of ambition and management skills.  While Roosevelt was at Harvard, his fifth cousin, Theodore Roosevelt, was elected president."
27,33,30,1,"Truman took business classes at this Kansas City school, but stayed for only one semester.  He is the most recent U.S. president who did not earn a college degree."
28,34,8,1,"Lacking funds for college, Eisenhower requested consideration for both Annapolis and West Point, as neither required tuition.  Though he did well on the entrance exam, he was beyond the age limit for the Naval Academy.  And so, he entered West Point in 1911.  In a curriculum that emphasized mathematics and engineering, Eisenhower's best subject was English.  Ike was also a starter on the varsity football team and played against all time great, Jim Thorpe!"
29,35,1,1,"Kennedy's interests at Harvard ranged from the frivolous to the serious.  He produced his freshman class' ""Freshman Smoker"" -- a follies-type show with celebrity guests.  JFK tried out for various sports, earning a spot on the varsity swim team.  By his junior year, Kennedy had become an earnest dean's-lister.  The summer before his senior year, he traveled to overseas with his father (then an envoy for FDR).  Kennedy toured Europe and the Middle East and witnessed first-hand some of the build-up to WWII.  His senior thesis about British participation in the Munich Agreement would later become a best-seller under the title, ""Why England Slept""."
30,36,33,1,"Johnson participated in debate and campus politics and editor of the school paper.  Perhaps his most formative experience during that time, however, was a nine month pause from studies, during which he taught Mexican-American children at a segregated school.  Decades later, he wrote:  ""I shall never forget the faces of the boys and the girls in that little Welhausen Mexican School, and I remember even yet the pain of realizing and knowing then that college was closed to practically every one of those children because they were too poor. And I think it was then that I made up my mind that this nation could never rest while the door to knowledge remained closed to any American."""
31,37,15,1,"Nixon was offered a tuition grant to attend Harvard, but he chose to remain in CA and attend the local Whittier College in order to cover the family business while his father recovered from illness.  Nixon played basketball and was an enthusiastic substitute on the football team.  Snubbed by a blue-blood literary society, Nixon co-founded an alternative organization.  Despite the demands of working at the family business, Nixon exhibited an admirable work ethic at school, paving the way for a scholarship to Duke Law School."
32,38,34,1,"A star football player, much of Ford's college lore is dominated by his heroics on the field.  He helped the Wolverines to national titles in 1932 and 1933 and was voted MVP his senior year.  He also notably took a stand to defend a black player on the team when the Georgia Tech Yellow Jackets refused to play in an integrated game.  Ford washed dishes at his fraternity house in order to defray expenses at school.  Upon graduation, he turned down two pro football offers to pursue law school, ultimately landing at Yale, where he graduated in the top 25% of his class."
33,39,16,1,"After completing preliminary course work at Georgia Southwestern and Georgia Tech, Carter finally gained admission to the Naval Academy.  A quiet, reserved, and studious Plebe in an institution known for aggressive hazing, Carter persevered and graduated 59th out of 820 midshipmen."
34,40,17,1,"Reagan, an economics and sociology major, earned a reputation at this local college as a Renaissance man.  Football player, swim team captain, and student body president, Reagan was also active in college theater productions (not surprising, given his later success as an actor).  As school president, Reagan led a student revolt when the Eureka administration threatened faculty cut-backs."
35,41,13,1,"The Bush-Yale legacy spans several generations -- going back to HW's father, Prescott Bush.  Having secured acceptance out of the high school, HW deferred his Yale destiny to serve in WWII as an aviator.  After valiant service to his country, Bush enrolled in an accelerated program that allowed him to graduate in 2 and 1/2 years.  Despite his relatively short time there, Bush excelled in many areas -- becoming captain of the baseball team, Phi Beta Kappa economics major, and -- like his father before him (and President Taft) -- member of the Skull and Bones society."
36,42,19,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
37,43,13,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
38,44,20,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
39,6,24,2,"Adams spent much of his youth accompanying the elder Adams on diplomatic missions overseas.  Consequently, John Quincy Adams had occasion to matriculate at Leiden University for a while.  Due to his various education opportunites abroad, Adams was well versed in languages and classical studies when he later arrived at Harvard."
40,20,26,2,"An Ohioan from humble origins, Garfield entered Hiram (then called Western Reserve Eclectic Institute) around the age of 20.  Having previously attended seminary, Garfield often preached at neighboring churches.  Though he completed his education at Williams College, Garfield would return to ""Eclectic"" to teach and become principal."
41,28,21,2,"Wilson's father was a Presbyterian theologian and served in various posts as clergyman and teacher in the Southeast.  Davidson's ties to the Presbyterian church made it an appealing a place to send young Woodrow.  President Wilson didn't quite finish out his freshman year at Davidson, due to illness.  By the time he recovered, Wilson's father had received a teaching position at Princeton, and so Wilson enrolled there."
42,35,3,2,"Kennedy spent a scant six weeks at Princeton before hospitalization forced him to abandon his first semester.  Over that winter, he recovered and then spent the spring working at a cattle ranch.  The next fall, he entered Harvard."
43,39,32,2,"In between his time at Georgia Southwestern College and the US Naval Academy, President Carter took some mathematics courses at Georgia Tech."
44,44,22,2,"President Obama studied for one year at Occidental before transferring to Columbia University."
45,39,31,3,"Carter's long standing dream was to attend the U.S. Naval Academy at Annapolis.  As he pursued this goal, he began preliminary studies at the nearby Georgia Southwestern."
46,29,28,1,"As a boy, Harding developed an interest in journalism when his father acquired a local newspaper.  Harding continued his pursuit of journalism at Ohio Central, also moonlighting at the nearby Union Register.  Additionally, Harding became an accomplished public speaker during his college days."
